Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,pc1_1,pc1_2,pc1_3,Status
4,3,0.5555555555555556,2,0,15,0.28421052631578947,14,10,26,22,41,0.33999999999999986,1,0,0,1,1,0,0.05660377358490565,0,0.0,0.0,0.37209302325581406,0.4888888888888888,0.7661822985468957,-0.9321792157928082,-0.05414062378638346,-0.14599433562317563,0
4,9,0.1111111111111111,15,0,15,0.6842105263157894,14,24,20,12,17,0.5,1,0,0,0,1,0,0.037735849056603765,0,0.0,0.0,0.7325581395348838,0.11111111111111112,0.6406869220607662,22.649984952857054,1.0932590573961891,3.7017255828554316,2
4,0,0.5555555555555556,5,0,15,0.28421052631578947,14,8,9,30,41,0.3136842105263158,1,0,0,0,1,0,0.037735849056603765,0,0.0,0.0,0.37209302325581406,0.4888888888888888,0.7661822985468957,0.6937515167012609,3.814433267271909,0.17273475485791892,0
4,3,0.2222222222222222,8,0,15,0.28421052631578947,14,9,9,22,17,0.2589473684210526,1,0,0,1,0,0,0.05660377358490565,0,0.0,0.0,0.2093023255813954,0.0,0.12417437252311753,22.12560207072207,2.789966465192507,6.798683941098716,2
3,14,0.1111111111111111,14,1,15,0.05263157894736836,14,8,10,30,41,0.4894736842105263,0,0,0,1,0,0,0.5283018867924527,0,0.0,0.0,0.7325581395348838,0.11111111111111112,0.6406869220607662,21.374894226369637,2.2049750857673422,4.16955806997795,2
3,14,0.1111111111111111,10,1,5,0.4010526315789473,14,8,9,30,34,0.20842105263157884,0,0,1,1,1,0,0.6226415094339623,0,0.0,0.41666666666666663,0.9999999999999999,0.24444444444444446,0.4147952443857331,21.581548312505202,4.646070016121065,10.21329902464873,2
4,0,0.1111111111111111,11,0,15,0.49473684210526314,14,10,10,8,3,0.351578947368421,1,0,0,1,0,1,0.018867924528301883,0,0.0,0.0,0.9186046511627907,0.7999999999999999,0.0,24.67210124345363,3.788221456642862,4.126806455395096,2
4,4,0.4444444444444444,15,0,15,0.2526315789473683,14,8,9,30,41,0.19052631578947365,1,0,0,0,1,0,0.09433962264150941,0,0.0,0.0,0.9186046511627907,0.7999999999999999,0.0,1.8874419059107281,5.429647778040856,4.042659700881884,0
4,0,0.3333333333333333,13,0,15,0.4421052631578948,15,24,28,30,41,0.3610526315789475,0,0,0,1,0,1,0.07547169811320753,1,0.0,0.0,0.9999999999999999,0.24444444444444446,0.4147952443857331,23.295952434433314,1.6587778814701342,4.533434329011271,2
4,0,0.1111111111111111,13,0,15,0.4526315789473685,14,24,11,1,34,0.2947368421052632,1,0,1,0,0,0,0.018867924528301883,0,0.0,0.0,0.15116279069767458,0.4888888888888888,1.0,21.28735749852377,3.2804605336588604,8.536485137324476,0
4,0,0.1111111111111111,0,0,15,0.463157894736842,14,9,11,22,34,0.37473684210526303,1,0,0,1,0,0,0.018867924528301883,0,0.0,0.0,0.7325581395348838,0.11111111111111112,0.6406869220607662,21.891389062848646,1.3984663467371936,3.3523534112469755,2
4,0,0.1111111111111111,11,0,15,0.43157894736842106,14,10,10,30,41,0.25578947368421057,1,0,0,1,0,1,0.018867924528301883,0,0.0,0.0,0.5930232558139535,1.0,0.3117569352708058,23.595282949646318,4.0728708778401455,4.65816801668173,2
4,0,0.2222222222222222,3,0,15,0.3999999999999999,14,10,9,1,41,0.3705263157894736,1,0,0,1,0,0,0.037735849056603765,0,0.0,0.0,0.5930232558139535,1.0,0.3117569352708058,1.4088835688760089,5.180613427680902,2.160766337447004,0
4,15,0.1111111111111111,15,0,14,0.1578947368421053,14,24,28,1,34,0.1768421052631579,1,0,0,1,0,1,0.07547169811320753,0,0.0,0.0,0.15116279069767458,0.4888888888888888,1.0,19.114938193014105,3.321159488131059,4.587125396214551,2
4,0,0.1111111111111111,16,0,15,0.5684210526315789,14,9,9,22,29,0.443157894736842,1,0,0,1,0,1,0.018867924528301883,0,0.0,0.0,0.37209302325581406,0.4888888888888888,0.7661822985468957,20.017009860419627,0.5103233385838948,4.445995663436653,2
4,0,0.1111111111111111,8,0,15,0.33684210526315783,14,10,9,30,17,0.2705263157894737,1,0,0,1,0,0,0.05660377358490565,0,0.0,0.0,0.9186046511627907,0.7999999999999999,0.0,11.449567041865418,4.327595936646421,12.193969123469126,0
4,4,0.1111111111111111,13,0,15,0.4421052631578948,14,10,10,22,20,0.4463157894736842,1,0,0,1,0,0,0.018867924528301883,0,0.0,0.0,0.37209302325581406,0.4888888888888888,0.7661822985468957,19.166497132975195,3.206248639208966,10.76546921148907,1
4,3,0.2222222222222222,11,0,15,0.42105263157894735,14,10,28,22,1,0.33999999999999986,1,0,0,1,0,0,0.018867924528301883,0,0.0,0.0,0.9186046511627907,0.7999999999999999,0.0,24.684950031600476,3.4966882944833606,3.7090519435337015,2
4,0,0.1111111111111111,6,0,15,0.4421052631578948,14,16,11,12,29,0.4347368421052633,1,0,0,1,0,0,0.05660377358490565,0,0.08333333333333333,0.16666666666666666,0.37209302325581406,0.4888888888888888,0.7661822985468957,20.070882059291957,1.3320349004839,5.97623419506999,2
